key,substance,time,rate
r680,CMP_A,2011-05-08T12:00,0.000088
r680,CMP_A,2014-05-08T12:00,0.000080
r681,CMP_A,2010-05-08T12:00,0.075292
r681,CMP_A,2011-05-08T12:00,0.052016
r681,CMP_A,2012-05-08T12:00,0.001876
r681,CMP_A,2013-05-08T12:00,0.049172
r681,CMP_A,2014-05-08T12:00,0.046417
r681,CMP_A,2015-05-08T12:00,0.052907
r682,CMP_A,2010-05-08T12:00,0.050785
r682,CMP_A,2011-05-08T12:00,0.036745
r682,CMP_A,2012-05-08T12:00,0.002763
r682,CMP_A,2013-05-08T12:00,0.040428
r682,CMP_A,2014-05-08T12:00,0.030631
r682,CMP_A,2015-05-08T12:00,0.059600
r677,CMP_A,2011-05-08T12:00,0.000016
r677,CMP_A,2012-05-08T12:00,0.000005
r677,CMP_A,2013-05-08T12:00,0.000004
r677,CMP_A,2015-05-08T12:00,0.000018
r683,CMP_A,2008-05-08T12:00,0.000049
r683,CMP_A,2010-05-08T12:00,0.000071
r683,CMP_A,2013-05-08T12:00,0.000214
r683,CMP_A,2017-05-08T12:00,0.000100
r684,CMP_A,2007-05-08T12:00,0.050910
r684,CMP_A,2011-05-08T12:00,0.002063
r684,CMP_A,2012-05-08T12:00,0.002722
r684,CMP_A,2013-05-08T12:00,0.002390
r684,CMP_A,2016-05-08T12:00,0.002076
r685,CMP_A,2007-05-08T12:00,0.000616
r679,CMP_A,2009-05-08T12:00,0.000186
r679,CMP_A,2012-05-08T12:00,0.000920
r654,CMP_A,2008-05-08T12:00,0.000989
r654,CMP_A,2010-05-08T12:00,0.002146
r654,CMP_A,2013-05-08T12:00,0.001388
r654,CMP_A,2014-05-08T12:00,0.000828
r654,CMP_A,2017-05-08T12:00,0.001131
r659,CMP_A,2012-05-08T12:00,0.001187
r659,CMP_A,2014-05-08T12:00,0.001047
r660,CMP_A,2007-05-08T12:00,0.037507
r660,CMP_A,2008-05-08T12:00,0.042195
r660,CMP_A,2011-05-08T12:00,0.000064
r660,CMP_A,2013-05-08T12:00,0.031965
r661,CMP_A,2007-05-08T12:00,0.167917
r661,CMP_A,2008-05-08T12:00,0.151305
r661,CMP_A,2009-05-08T12:00,0.007463
r661,CMP_A,2010-05-08T12:00,0.017003
r661,CMP_A,2011-05-08T12:00,0.024932
r661,CMP_A,2013-05-08T12:00,0.151817
r661,CMP_A,2015-05-08T12:00,0.011311
r662,CMP_A,2007-05-08T12:00,0.003536
r662,CMP_A,2009-05-08T12:00,0.038105
r662,CMP_A,2010-05-08T12:00,0.021920
r662,CMP_A,2011-05-08T12:00,0.037038
r662,CMP_A,2012-05-08T12:00,0.026000
r662,CMP_A,2013-05-08T12:00,0.040143
r662,CMP_A,2014-05-08T12:00,0.022105
r662,CMP_A,2015-05-08T12:00,0.043628
r663,CMP_A,2007-05-08T12:00,0.118000
r663,CMP_A,2008-05-08T12:00,0.165808
r663,CMP_A,2009-05-08T12:00,0.124654
r663,CMP_A,2011-05-08T12:00,0.044672
r663,CMP_A,2012-05-08T12:00,0.052086
r663,CMP_A,2013-05-08T12:00,0.024679
r663,CMP_A,2014-05-08T12:00,0.032164
r663,CMP_A,2015-05-08T12:00,0.015808
r663,CMP_A,2016-05-08T12:00,0.025035
r663,CMP_A,2017-05-08T12:00,0.028650
r664,CMP_A,2007-05-08T12:00,0.007299
r664,CMP_A,2008-05-08T12:00,0.041091
r664,CMP_A,2009-05-08T12:00,0.008714
r664,CMP_A,2011-05-08T12:00,0.246416
r664,CMP_A,2012-05-08T12:00,0.041425
r664,CMP_A,2013-05-08T12:00,0.214352
r664,CMP_A,2014-05-08T12:00,0.196330
r664,CMP_A,2015-05-08T12:00,0.052871
r664,CMP_A,2016-05-08T12:00,0.024342
r664,CMP_A,2017-05-08T12:00,0.208020
r665,CMP_A,2007-05-08T12:00,0.061524
r665,CMP_A,2008-05-08T12:00,0.015902
r665,CMP_A,2009-05-08T12:00,0.090404
r665,CMP_A,2010-05-08T12:00,0.002737
r665,CMP_A,2011-05-08T12:00,0.259813
r665,CMP_A,2012-05-08T12:00,0.011388
r665,CMP_A,2013-05-08T12:00,0.180589
r665,CMP_A,2014-05-08T12:00,0.287436
r665,CMP_A,2015-05-08T12:00,0.014331
r665,CMP_A,2016-05-08T12:00,0.095299
r665,CMP_A,2017-05-08T12:00,0.209518
r655,CMP_A,2007-05-08T12:00,0.045067
r655,CMP_A,2008-05-08T12:00,0.008102
r655,CMP_A,2009-05-08T12:00,0.092629
r655,CMP_A,2010-05-08T12:00,0.006060
r655,CMP_A,2011-05-08T12:00,0.095723
r655,CMP_A,2013-05-08T12:00,0.054009
r655,CMP_A,2014-05-08T12:00,0.132812
r655,CMP_A,2015-05-08T12:00,0.002336
r655,CMP_A,2016-05-08T12:00,0.108835
r655,CMP_A,2017-05-08T12:00,0.053272
r678,CMP_A,2009-05-08T12:00,0.050067
r678,CMP_A,2011-05-08T12:00,0.040450
r678,CMP_A,2012-05-08T12:00,0.012121
r678,CMP_A,2013-05-08T12:00,0.055194
